KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001101001,T001101002,T001101003,T001101004,T001101005,T001101006,T001101007,T001101008,T001101009,T001101010,T001101011,T001101012,T001101013,T001101014,T001101015,T001101016,T001101017,T001101018,T001101019,T001101020,T001101021,T001101022,T001101023,T001101024,T001101025,T001101026,T001101027,T001101028,T001101029,T001101030,T001101031,T001101032,T001101033,T001101034,T001101035,T001101036,T001101037,T001101038,T001101039,T001101040,T001101041,T001101042,T001101043,T001101044,T001101045,T001101046,T001101047,T001101048,T001101049,T001101050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
534064071,0,,,174,85,89,13,6,7,161,79,82,97,49,48,153,75,78,152,75,77,64,30,34,21,9,12,5,3,2,1,1,0,1,0,1,76,76,20,31,14,8,1,1,1,53,47,6,2,44,0,9,17
534064072,0,,,269,140,129,33,17,16,236,123,113,147,77,70,230,120,110,226,118,108,89,46,43,38,16,22,17,6,11,3,0,3,3,0,3,88,88,14,25,18,17,7,4,3,73,51,22,7,60,0,8,12
534064073,0,,,198,100,98,11,8,3,186,92,94,91,49,42,180,88,92,179,87,92,95,43,52,38,17,21,4,1,3,0,0,0,0,0,0,90,90,27,30,23,8,2,0,0,62,57,5,4,64,0,17,20
534064074,0,,,332,161,171,29,19,10,303,142,161,171,82,89,296,142,154,289,140,149,132,60,72,61,24,37,16,6,10,1,0,1,0,0,0,118,118,11,51,23,22,4,7,0,107,83,24,8,77,0,7,26
534064082,0,,,40,19,21,3,0,3,37,19,18,21,12,9,36,19,17,36,19,17,16,7,9,7,2,5,3,0,3,0,0,0,0,0,0,13,13,0,5,4,3,0,1,0,13,9,4,1,10,0,0,2
534064083,0,,,67,35,32,7,2,5,60,33,27,35,18,17,53,30,23,52,29,23,25,15,10,12,8,4,5,4,1,1,1,0,0,0,0,29,29,10,8,4,6,1,0,0,18,15,3,0,16,0,5,4
534064084,0,,,178,80,98,15,6,9,162,74,88,83,43,40,161,74,87,158,72,86,79,31,48,33,12,21,6,0,6,0,0,0,0,0,0,77,77,19,30,16,10,1,1,0,58,53,5,3,57,1,15,17
534064091,0,,,44,21,23,2,0,2,42,21,21,23,14,9,42,21,21,42,21,21,19,7,12,13,5,8,7,2,5,0,0,0,0,0,0,15,15,4,4,1,4,0,1,1,11,4,7,0,11,0,1,3
534064092,0,,,50,26,24,1,0,1,49,26,23,29,17,12,47,24,23,46,24,22,20,9,11,9,4,5,5,2,3,0,0,0,0,0,0,17,17,2,7,2,3,2,1,0,14,8,6,1,10,0,1,1
534064093,0,,,299,130,169,14,5,9,285,125,160,149,66,83,273,123,150,269,119,150,136,59,77,48,19,29,12,3,9,0,0,0,0,0,0,119,119,20,50,26,15,7,1,0,98,79,19,0,85,0,10,34
534064094,0,,,63,32,31,4,2,2,59,30,29,33,17,16,58,29,29,58,29,29,26,13,13,17,9,8,7,3,4,0,0,0,0,0,0,17,17,0,1,8,5,1,2,0,17,7,10,1,13,0,0,1
534064101,0,,,54,27,27,6,4,2,48,23,25,30,15,15,47,23,24,47,23,24,18,8,10,8,4,4,3,2,1,0,0,0,0,0,0,21,21,5,6,5,3,2,0,0,15,13,2,1,12,0,2,3
534064102,0,,,66,36,30,4,0,4,62,36,26,35,22,13,61,35,26,60,34,26,27,14,13,11,5,6,3,1,2,1,0,1,3,3,0,32,32,16,7,3,4,1,1,0,15,9,6,1,20,3,8,1
534064103,0,,,19,7,12,3,0,3,16,7,9,13,7,6,15,6,9,13,5,8,3,0,3,2,0,2,0,0,0,0,0,0,1,1,0,7,7,3,1,0,1,2,0,0,4,1,3,1,3,0,1,0
534064104,0,,,62,33,29,9,3,6,53,30,23,35,19,16,51,30,21,51,30,21,18,11,7,6,4,2,4,3,1,1,1,0,0,0,0,18,18,1,5,5,4,0,1,2,17,9,8,3,12,0,1,1
534064111,0,,,22,14,8,2,2,0,20,12,8,13,8,5,20,12,8,19,11,8,7,4,3,1,0,1,0,0,0,0,0,0,0,0,0,8,8,0,5,1,1,1,0,0,8,6,2,1,5,0,0,1
534064112,0,,,56,28,28,2,0,2,54,28,26,31,15,16,52,27,25,51,26,25,23,13,10,6,3,3,2,0,2,0,0,0,1,0,1,24,24,8,10,1,2,1,2,0,16,12,4,1,17,0,6,4
534064113,0,,,56,25,31,4,1,3,52,24,28,34,17,17,52,24,28,51,24,27,18,7,11,13,4,9,4,2,2,0,0,0,0,0,0,21,21,4,8,6,1,0,1,1,17,14,3,1,12,0,3,4
